cluster,weighted_population,record_count,weighted_population_share
0,79516605.08,45700,0.2289922121594851
1,88056607.17,52638,0.2535857416300686
2,6855873.77,3796,0.019743570532205233
3,27806923.15,15623,0.08007847969692644
4,72041647.77,40811,0.20746580256877759
5,697404.69,392,0.002008388594719667
6,72270830.84,40563,0.2081258048178173
