cluster,weighted_population,record_count,weighted_population_share
0,74578723.3,42209,0.21477208202381592
1,88081987.63,52655,0.2536588323722498
2,74774063.44,41928,0.2153346232784022
3,80476103.03,46250,0.23175537788961081
4,697404.69,392,0.0020083885947196674
5,28637610.38,16089,0.0824706958412017
