Threshold,Precision,Recall,F1,% Selected,Selected Count,Estimated Cost
0.7,0.885,0.32,0.471,2.25,672,1344.0
0.695,0.881,0.323,0.473,2.28,681,1362.0
0.5,0.761,0.473,0.583,3.86,1154,2308.0
0.3,0.617,0.642,0.63,6.46,1932,3864.0
